"Illinois","0.56","0.83","1.40","1.92","1.92","1.91","1.85","1.85","1.91","1.91","1.39","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Indiana","0.31","0.30","0.29","0.28","0.27","0.26","0.26","0.25","0.36","0.24","0.24","0.24","0.24","1.39","1.39","1.39","1.39","1.38","1.38","1.38","1.38"
"Iowa","0.87","0.84","0.82","0.79","0.77","0.89","0.86","0.83","0.83","0.82","0.80","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Kansas","0.40","0.39","0.38","0.37","0.36","0.34","0.34","0.32","0.32","0.32","0.31","0.38","0.38","0.38","0.38","0.38","0.38","0.38","0.38","0.38","0.38"
"Kentucky","0.75","0.71","0.70","0.68","0.66","0.64","0.62","0.62","0.62","0.59","0.57","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Louisiana","0.22","0.21","0.20","0.20","0.20","0.20","0.26","0.25","0.25","0.25","0.24","0.24","0.24","0.24","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Maine","1.57","1.57","1.57","1.57","2.07","2.06","2.06","2.06","2.00","2.00","2.00","1.05","1.05","1.05","1.05","1.05","1.38","1.38","1.38","1.38","1.38"
"Maryland","0.43","0.41","0.40","0.39","0.38","0.37","1.16","1.16","1.16","1.16","1.22","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Massachusetts","1.33","1.33","1.33","1.33","1.33","1.33","1.33","1.33","1.33","1.33","1.33","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Michigan","0.63","0.61","0.59","0.58","0.61","0.61","0.66","0.64","0.64","0.63","0.64","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Minnesota","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.15","2.15","2.15","2.15","2.05","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Mississippi","0.38","0.36","0.35","0.34","0.33","0.32","0.46","0.44","0.44","0.44","0.29","0.29","0.28","0.27","0.27","0.27","0.26","0.26","0.25","0.25","0.28"
"Missouri","1.07","0.84","0.82","0.42","0.40","0.39","0.26","0.25","0.37","0.36","0.35","0.24","0.23","0.22","0.22","0.22","0.21","0.21","0.21","1.38","1.38"
"Montana","0.69","0.67","0.65","0.64","0.62","0.60","0.58","0.56","0.56","0.55","0.54","0.52","0.51","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Nebraska","0.55","0.57","0.56","0.60","0.58","0.59","0.58","0.58","0.58","0.57","0.58","0.55","0.55","0.63","0.63","0.63","0.63","0.63","1.38","1.38","1.38"
"Nevada","0.90","0.88","0.87","0.84","0.86","0.94","0.91","0.88","0.88","0.87","0.84","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"New Hampshire","0.62","0.61","0.60","0.58","0.56","0.55","0.51","0.49","0.49","0.49","0.47","0.75","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"New Jersey","2.00","0.42","0.41","1.00","1.15","1.33","2.00","2.00","2.00","2.00","2.00","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"New Mexico","0.58","0.71","0.69","0.67","0.65","0.63","0.69","0.67","0.67","0.85","0.85","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"New York","1.33","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"North Carolina","0.62","0.59","0.57","0.56","0.54","0.52","0.51","0.49","0.49","0.49","0.47","0.45","0.45","0.44","0.44","0.43","0.42","0.41","0.41","0.39","0.37"
"North Dakota","1.10","0.94","0.69","0.67","0.65","0.63","0.62","0.59","0.59","0.59","0.57","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Ohio","1.00","1.00","1.00","0.90","0.90","0.90","0.90","0.90","0.90","0.90","0.96","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Oklahoma","0.48","0.46","0.45","0.44","0.43","0.50","0.48","0.47","0.53","0.53","0.51","0.48","0.46","0.44","0.44","0.43","0.42","0.41","0.41","1.38","1.38"
"Oregon","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.40","0.40","0.40","0.39","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Pennsylvania","0.56","0.66","0.66","0.63","0.61","0.59","0.36","0.34","0.46","0.46","0.58","0.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Rhode Island","1.92","1.92","1.92","1.92","1.92","1.91","1.81","1.81","1.81","1.81","1.81","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"South Carolina","1.00","0.98","0.97","0.97","0.97","1.00","0.90","0.89","0.93","0.91","0.89","0.67","0.67","0.67","0.67","0.67","0.67","0.67","0.67","0.67","0.67"
"South Dakota","0.65","0.63","0.61","0.59","0.58","0.56","0.54","0.52","0.52","0.52","0.50","0.54","0.53","0.52","0.51","0.50","0.49","0.48","0.48","0.46","0.43"
"Tennessee","0.81","1.00","1.00","0.81","0.80","0.80","1.34","1.29","1.27","1.26","1.22","1.11","1.03","1.01","0.99","0.98","0.95","0.94","0.93","0.88","0.82"
"Texas","0.32","0.34","0.33","0.30","0.29","0.28","0.27","0.26","0.26","0.26","0.25","0.19","0.19","0.18","0.18","0.18","0.17","0.17","0.17","0.16","0.16"
"Utah","0.55","0.53","0.53","0.50","0.49","0.47","0.68","0.44","0.44","0.44","0.42","0.47","0.46","0.45","0.44","0.60","0.60","1.38","1.38","1.38","1.38"
"Vermont","1.92","1.92","1.92","1.92","1.92","1.91","1.91","1.91","1.91","1.91","1.91","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Virginia","0.31","0.37","0.36","0.31","0.31","0.31","0.30","0.29","0.31","0.31","0.30","0.52","0.45","0.39","0.38","0.38","1.38","1.38","1.38","1.38","1.38"
"Washington","NR","0.86","0.86","0.81","0.79","0.76","0.77","0.74","0.74","0.73","0.71","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"West Virginia","0.28","0.39","0.38","0.37","0.36","0.35","0.34","0.33","0.33","0.32","0.31","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Wisconsin","1.85","1.85","1.92","1.92","1.92","1.91","2.00","2.00","2.00","2.00","2.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Wyoming","0.65","0.62","0.60","0.59","0.57","0.55","0.54","0.52","0.52","0.51","0.50","0.59","0.58","0.57","0.56","0.55","0.54","0.53","0.52","0.50","0.47"

"Sources"
"Based on a national survey conducted by KFF with the Center on Budget and Policy Priorities, 2003-2009; and with the Georgetown University Center for Children and Families, 2011-2023. See [Annual Updates on Eligibility Rules, Enrollment and Renewal Procedures, and Cost-Sharing Practices in Medicaid and CHIP](https://www.kff.org/medicaid/report/annual-updates-on-eligibility-rules-enrollment-and-renewal-procedures-and-cost-sharing-practices-in-medicaid-and-chip/) for all survey reports."

"Definitions"
"All eligibility limits calculated as a percent of the Federal Poverty Level (FPL)."
""
"*NR*: Data not reported."

"Notes"
"Reflects income eligibility limits for coverage that provides full Medicaid benefits. Eligibility limits for waiver programs that provide more limited benefits or for fully state-funded programs are not included."
""
"Income eligibility limits for parents are calculated based on a family of three. In some states, eligibility limits for Section 1931 parents are based on a dollar threshold, and the values listed represent the FPL equivalents calculated from these dollar limits using the applicable FPL for that year."
""
"Changes over time reflect policy changes as well as routine annual adjustments in some states. In some cases, changes may reflect changes in state reporting. Changes between January 2013 and 2014 reflect the ACA Medicaid expansion in some states and the conversion to MAGI-based income eligibility standards. Some changes between January 2014 and January 2015 reflect continued adjustments to these MAGI conversions."
""
"Data prior to 2014 take states’ earnings disregards, when applicable, into account when determining eligibility limits. Beginning in 2014, income limits include a disregard equal to five percentage points of the FPL."
""
"Does not include information regarding periods of time new enrollment may have been closed under a waiver program."
""
"See annual survey reports for state-specific notes. For the most recent data on eligibility limits for adults, please visit [Medicaid Income Eligibility Limits for Adults as a Percent of the Federal Poverty Level](https://www.kff.org/health-reform/state-indicator/medicaid-income-eligibility-limits-for-adults-as-a-percent-of-the-federal-poverty-level)."


Footnotes
"1. Median value for the United States"
